sample interval	   MLII
(0.0027777 sec)	   (mV)
0	-0.445
1	-0.445
2	-0.445
3	-0.445
4	-0.445
5	-0.445
6	-0.445
7	-0.445
8	-0.45
9	-0.43
10	-0.435
11	-0.405
12	-0.385
13	-0.365
14	-0.355
15	-0.34
16	-0.325
17	-0.305
18	-0.285
19	-0.26
20	-0.245
21	-0.225
22	-0.24
23	-0.225
24	-0.21
25	-0.195
26	-0.19
27	-0.195
28	-0.205
29	-0.205
30	-0.2
31	-0.205
32	-0.21
33	-0.215
34	-0.235
35	-0.235
36	-0.22
37	-0.235
38	-0.24
39	-0.255
40	-0.28
41	-0.275
42	-0.265
43	-0.27
44	-0.27
45	-0.285
46	-0.305
47	-0.305
48	-0.295
49	-0.29
50	-0.3
51	-0.305
52	-0.315
53	-0.31
54	-0.315
55	-0.295
56	-0.3
57	-0.31
58	-0.315
59	-0.315
60	-0.32
61	-0.315
62	-0.305
63	-0.31
64	-0.33
65	-0.325
66	-0.33
67	-0.32
68	-0.32
69	-0.31
70	-0.325
71	-0.33
72	-0.33
73	-0.325
74	-0.325
75	-0.335
76	-0.335
77	-0.33
78	-0.32
79	-0.32
80	-0.335
81	-0.335
82	-0.345
83	-0.34
84	-0.325
85	-0.32
86	-0.325
87	-0.35
88	-0.36
89	-0.35
90	-0.325
91	-0.31
92	-0.325
93	-0.335
94	-0.34
95	-0.34
96	-0.33
97	-0.325
98	-0.335
99	-0.34
100	-0.345
101	-0.33
102	-0.335
103	-0.325
104	-0.325
105	-0.335
106	-0.34
107	-0.325
108	-0.325
109	-0.32
110	-0.325
111	-0.33
112	-0.345
113	-0.325
114	-0.325
115	-0.325
116	-0.32
117	-0.325
118	-0.33
119	-0.335
120	-0.305
121	-0.31
122	-0.295
123	-0.285
124	-0.29
125	-0.245
126	-0.23
127	-0.21
128	-0.23
129	-0.245
130	-0.245
131	-0.225
132	-0.19
133	-0.155
134	-0.145
135	-0.15
136	-0.155
137	-0.15
138	-0.14
139	-0.13
140	-0.12
141	-0.125
142	-0.14
143	-0.145
144	-0.15
145	-0.155
146	-0.15
147	-0.175
148	-0.2
149	-0.24
150	-0.28
151	-0.325
152	-0.36
153	-0.38
154	-0.39
155	-0.38
156	-0.38
157	-0.37
158	-0.38
159	-0.395
160	-0.415
161	-0.395
162	-0.395
163	-0.38
164	-0.37
165	-0.375
166	-0.39
167	-0.385
168	-0.38
169	-0.365
170	-0.375
171	-0.37
172	-0.4
173	-0.385
174	-0.37
175	-0.375
176	-0.37
177	-0.37
178	-0.36
179	-0.355
180	-0.355
181	-0.365
182	-0.37
183	-0.37
184	-0.355
